,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,47.049,45.946,45.783,44.764,43.374,43.227,41.603,39.871,38.732,37.865,35.979,35.891,36.102,35.924,36.008,35.95,36.006,36.008,35.897,36.028,36.084,35.856,36.006,36.008,35.93,35.957,36.19,35.967,36.059,36.103,36.02,35.966,35.991,36.146,35.922,35.961,35.861,36.274,35.914,35.876,36.083,35.985,36.104,36.002,35.954,35.947,36.079,35.969,36.065,36.062
1,47.402,45.844,45.977,46.298,44.561,43.558,42.143,42.212,39.822,39.023,37.524,36.909,37.012,37.09,37.096,36.795,36.887,36.848,36.935,36.904,36.919,37.04,36.968,37.096,36.993,36.965,37.042,37.04,36.795,37.031,37.066,36.935,36.837,36.952,36.964,37.116,36.853,37.054,37.01,37.006,36.995,37.047,37.032,36.928,37.187,37.062,36.979,37.002,36.988,37.023
2,47.003,47.86,46.178,44.889,44.718,44.524,43.562,42.29,40.857,40.545,39.692,38.6,37.855,37.743,38.052,37.898,38.053,37.959,38.111,37.97,37.948,37.803,37.9,37.947,38.138,37.973,38.187,38.0,37.997,37.858,37.902,37.966,37.958,37.985,38.035,38.029,37.756,37.988,37.932,38.171,37.999,38.011,37.94,37.958,38.005,37.963,37.897,37.998,37.884,37.856
3,47.482,47.305,46.942,46.333,45.491,45.205,44.007,43.036,42.36,39.92,39.39,38.547,39.617,38.94,39.083,38.981,39.125,38.977,39.192,38.916,39.116,39.018,39.007,38.958,39.23,39.215,38.804,39.021,39.058,39.003,38.92,38.976,38.88,39.08,38.996,39.122,38.815,39.067,38.805,38.935,38.963,38.971,38.982,38.929,38.791,38.969,39.176,38.811,38.964,38.906
4,46.2,46.071,45.759,45.436,44.272,45.171,43.975,43.081,42.457,40.99,40.09,39.829,39.798,39.606,39.879,40.128,39.963,40.057,40.052,40.072,39.927,39.959,40.086,39.93,40.221,40.045,40.099,39.973,39.94,40.015,39.985,40.141,39.965,40.087,40.06,40.002,39.827,40.035,39.927,39.949,39.828,40.071,40.165,39.775,40.146,40.034,39.999,40.071,39.952,39.919
5,46.141,45.884,45.5,45.195,45.725,44.175,44.451,42.923,41.83,40.712,39.719,39.065,39.677,39.234,40.184,40.902,40.81,40.842,40.787,40.905,41.242,41.039,40.877,40.801,40.963,41.165,40.886,40.947,41.098,40.825,41.103,41.136,40.994,40.923,40.904,40.781,41.155,40.958,41.021,41.002,40.989,41.097,41.073,41.087,41.138,41.055,40.979,40.909,41.028,41.046
6,44.846,44.815,43.781,45.374,43.213,44.002,42.333,42.44,41.904,40.297,40.263,40.515,39.542,38.549,39.655,40.389,42.051,41.905,42.078,42.109,41.795,41.999,42.181,42.044,41.994,42.141,41.84,41.967,42.015,41.984,41.91,42.173,41.982,41.741,42.018,41.8,42.055,41.876,41.927,42.104,42.011,41.726,42.156,42.171,41.968,41.889,41.954,41.79,42.12,41.984
7,44.612,42.823,43.659,41.683,42.698,42.571,42.163,41.688,40.181,39.532,39.619,39.924,38.019,38.641,38.54,40.041,40.808,43.111,43.013,43.048,42.836,43.066,43.003,43.076,43.112,43.019,42.942,43.068,43.104,42.959,42.866,42.787,42.92,43.036,43.021,42.874,42.796,43.15,43.032,42.979,42.892,42.878,43.132,42.973,42.921,43.11,42.955,42.982,42.869,43.082
8,42.848,42.95,41.743,42.943,42.073,41.57,40.832,41.581,39.185,39.315,37.527,38.4,37.065,37.62,38.114,37.879,39.567,41.582,44.03,43.843,43.934,44.049,43.973,43.944,44.12,44.109,44.178,44.228,43.748,43.941,43.947,44.053,43.909,43.823,43.923,44.104,43.986,44.159,44.111,44.048,43.964,43.884,43.701,43.864,43.908,43.991,43.964,43.833,44.081,44.087
9,42.612,42.427,41.536,39.96,41.48,38.922,40.023,38.056,38.799,38.227,37.295,36.292,35.913,35.054,36.116,35.914,37.783,39.147,42.37,45.105,45.073,45.008,44.84,45.067,44.98,44.894,45.032,44.997,45.04,44.919,45.03,44.898,44.94,44.928,45.102,45.003,44.935,45.16,44.931,45.052,44.969,45.023,44.98,45.005,45.091,45.046,44.982,45.066,44.931,44.951
10,41.597,40.671,39.907,39.247,38.58,37.032,36.962,37.452,38.456,36.878,36.389,35.349,34.911,34.849,34.883,35.478,36.42,38.187,40.345,42.698,45.794,46.119,45.691,46.006,45.921,45.89,45.941,45.889,45.997,45.929,46.322,45.959,46.03,46.235,46.031,45.97,45.975,46.064,45.993,45.977,46.201,46.091,46.046,46.022,45.96,46.018,46.153,45.894,45.934,46.045
11,40.914,39.366,38.784,38.461,39.055,37.736,37.291,35.873,36.06,35.167,36.125,35.177,35.1,34.207,34.823,34.868,35.077,36.469,38.302,40.63,43.557,46.84,47.058,46.86,46.91,46.996,46.89,46.969,46.884,47.077,46.898,46.996,47.082,47.113,46.913,46.952,47.013,46.931,47.017,47.143,46.932,46.929,46.932,47.206,47.046,46.952,46.892,46.915,47.058,46.934
12,40.399,40.455,39.659,37.447,37.089,36.085,36.826,34.589,35.914,34.368,34.607,33.8,33.488,34.632,32.886,34.214,33.988,35.198,36.488,38.246,41.801,44.178,48.047,48.198,47.898,48.219,48.083,47.979,47.943,47.827,47.998,48.038,47.988,48.031,47.888,48.156,47.928,47.965,47.958,48.03,47.927,48.01,47.884,47.946,47.932,48.066,47.969,48.015,48.078,47.941
13,39.548,38.903,38.218,37.7,36.504,36.631,35.364,34.251,34.545,33.735,32.433,32.603,32.535,32.517,32.409,32.36,33.517,34.395,36.061,38.268,39.711,42.717,45.626,48.876,48.794,48.787,48.982,48.732,48.787,48.983,48.979,48.991,49.046,48.835,48.943,49.1,49.105,48.801,48.811,49.022,49.168,49.026,49.069,49.23,48.885,49.208,49.109,49.247,48.978,48.949
14,39.704,38.109,38.57,37.188,36.596,35.907,35.552,34.33,33.629,33.704,33.098,32.454,32.394,32.895,31.573,31.82,32.365,33.862,35.415,37.004,38.645,40.941,43.348,46.801,49.983,50.076,50.075,50.105,49.988,50.017,50.171,49.834,49.985,49.981,49.915,49.906,50.096,50.026,50.037,50.103,50.037,49.988,50.072,50.062,49.98,49.982,49.809,50.013,50.112,49.792
15,38.876,38.71,38.322,37.643,36.653,35.967,35.194,34.302,33.187,32.819,32.39,31.595,32.786,31.861,32.456,32.012,32.74,33.209,34.416,36.23,37.566,40.015,41.661,44.916,47.942,50.86,50.842,51.087,51.104,51.011,51.047,50.905,50.91,51.115,50.99,51.01,50.909,51.03,51.081,51.239,51.045,50.861,50.949,51.128,50.946,50.867,51.032,50.86,50.905,50.948
16,39.6,38.514,38.15,37.809,36.631,35.469,35.253,33.35,32.421,32.74,32.429,31.593,31.621,31.105,31.105,31.625,32.306,32.792,34.024,35.414,36.767,39.114,40.551,43.16,46.302,48.749,52.009,52.069,51.928,51.876,52.01,51.985,52.142,52.084,52.054,52.028,51.916,51.934,51.98,51.892,51.869,52.154,51.994,51.79,51.931,52.076,51.917,52.08,51.957,51.882
17,38.813,38.851,38.213,37.952,36.94,35.836,35.849,34.073,33.591,32.768,32.064,31.751,31.74,31.24,30.283,31.1,31.199,31.996,33.17,34.409,36.111,37.862,40.143,41.997,44.391,46.747,49.732,53.021,52.947,53.094,52.872,53.06,52.881,53.105,52.945,52.899,52.953,52.821,52.863,53.041,52.867,52.896,52.941,52.972,53.13,52.978,52.851,52.954,53.018,52.898
18,39.592,37.552,37.919,37.664,36.983,37.053,36.114,35.846,33.379,33.199,33.172,31.71,32.043,31.453,31.525,31.397,31.372,31.495,32.611,34.374,35.74,36.985,38.654,40.868,42.381,45.44,47.63,50.915,54.074,54.024,54.042,53.937,54.074,53.895,53.964,54.099,53.819,53.873,54.034,53.916,53.915,53.995,54.025,54.023,54.215,53.834,53.922,53.868,53.845,53.804
19,38.78,38.414,37.32,37.778,37.372,37.387,35.767,35.741,33.586,34.171,32.44,33.381,31.557,31.823,31.752,31.848,31.664,32.067,32.264,33.421,35.211,37.149,38.277,40.169,41.319,43.707,46.35,48.541,51.461,54.914,54.87,54.935,54.948,55.028,54.722,55.112,54.93,54.797,54.983,55.062,55.058,55.018,54.833,55.027,54.834,54.97,55.085,55.138,54.947,55.005
20,38.606,38.158,38.996,39.183,37.069,37.098,35.907,35.477,34.05,33.507,34.062,33.327,32.524,32.68,32.182,32.145,32.969,32.859,33.135,33.36,34.999,36.151,37.313,39.123,40.545,43.543,45.106,47.237,50.046,52.753,55.93,55.895,56.026,55.998,55.827,56.109,56.063,55.86,56.035,55.803,55.89,55.899,55.958,56.165,55.952,56.227,55.859,56.032,55.743,56.237
21,38.61,38.712,38.414,38.039,37.506,35.985,36.032,36.101,34.665,34.526,33.824,33.19,33.905,33.471,32.512,32.962,32.973,33.633,33.596,34.23,34.428,36.446,36.904,38.479,40.598,41.905,44.002,46.088,47.745,51.043,54.142,56.732,57.02,56.946,56.945,57.089,56.854,56.971,56.88,56.949,56.946,56.822,56.809,56.891,57.012,56.877,57.048,56.89,56.934,57.05
22,39.607,38.551,38.339,37.554,37.162,36.827,36.776,35.922,35.074,35.702,34.854,33.454,33.213,33.043,33.105,33.341,33.622,34.042,34.016,34.396,35.625,35.466,36.862,38.365,39.197,41.148,43.235,45.27,46.497,49.025,52.232,55.184,57.828,57.993,57.998,57.994,57.992,57.976,57.978,57.82,58.0,57.907,58.067,57.932,58.066,58.147,58.11,58.051,58.078,57.955
23,39.019,38.014,38.739,37.265,37.959,36.637,36.081,36.081,34.321,35.386,34.134,33.609,33.51,33.533,33.412,33.575,33.679,34.529,34.755,35.25,35.804,35.979,36.317,37.982,39.351,40.908,42.148,44.179,46.16,47.886,50.003,53.121,55.341,59.001,58.871,59.022,58.979,59.153,59.072,58.974,58.947,58.863,59.048,59.163,59.169,59.105,59.16,59.094,59.006,58.954
24,39.258,38.981,37.172,37.24,36.542,36.475,35.897,35.802,35.26,34.232,33.762,34.158,34.192,33.65,33.826,33.305,33.799,34.405,34.934,35.642,36.387,36.619,37.207,37.431,38.676,40.367,41.281,43.211,44.741,47.39,48.862,51.657,54.228,56.626,59.893,59.923,59.936,60.028,59.829,59.96,60.06,59.966,59.866,60.059,59.978,59.896,59.857,60.024,59.898,60.032
25,39.074,38.374,37.803,37.081,36.963,37.109,36.296,35.086,34.628,34.517,34.737,33.812,33.299,32.836,32.716,32.894,34.325,34.722,35.319,35.871,36.746,37.14,37.632,37.808,38.325,39.98,41.527,42.98,44.476,45.541,47.205,50.33,51.937,54.668,57.593,60.838,61.054,60.922,61.073,61.105,61.003,61.128,61.107,61.117,60.985,60.905,61.218,60.985,61.152,60.99
26,38.248,37.782,37.769,38.077,36.243,38.076,35.929,34.351,34.921,35.022,35.052,33.421,33.779,33.31,33.203,34.144,34.313,34.309,34.961,36.523,37.144,37.641,38.308,38.57,38.985,39.176,40.47,42.441,43.785,45.467,46.934,48.51,50.624,53.064,55.438,57.712,61.8,62.053,61.854,62.003,62.044,61.955,61.884,62.042,61.975,62.064,61.955,61.91,61.959,62.046
27,38.833,39.58,37.31,36.704,37.263,36.378,36.084,36.138,35.41,34.811,33.932,33.94,33.952,33.698,33.558,33.527,33.923,34.485,35.283,36.043,37.161,37.971,38.886,39.235,39.837,40.007,40.413,41.708,42.973,45.362,46.087,47.947,49.697,51.801,54.504,56.679,59.664,62.9,62.905,62.964,62.944,62.987,62.917,62.817,63.019,62.939,63.034,62.977,63.178,62.887
28,38.577,37.725,38.27,38.149,36.858,35.567,35.191,35.868,35.44,32.904,34.05,33.605,33.247,33.0,33.601,34.044,34.172,34.425,35.419,36.326,37.493,38.199,39.042,39.524,40.214,40.671,40.81,41.276,42.553,43.935,45.537,46.662,48.906,51.221,53.463,54.29,57.417,60.033,63.753,64.099,64.004,63.981,64.004,63.894,63.862,63.99,63.922,63.951,64.042,63.951
29,39.153,37.269,38.061,36.83,36.696,35.448,36.569,35.558,34.644,33.707,35.001,33.679,34.157,33.839,33.369,33.355,33.554,34.447,34.893,36.399,37.667,38.304,39.623,40.049,40.931,41.152,41.915,42.183,42.201,43.495,45.275,46.566,48.399,49.834,52.355,53.649,55.806,58.876,61.389,64.947,65.019,65.051,65.063,64.954,64.942,64.969,64.956,64.98,64.93,64.99
30,38.741,38.272,37.114,37.689,36.12,36.939,36.103,35.475,35.483,35.084,34.174,33.841,33.498,33.823,33.68,33.553,33.808,34.27,35.401,36.183,37.259,38.482,39.459,40.187,41.258,41.568,42.355,42.967,43.156,43.341,44.935,46.334,47.666,49.249,50.981,52.91,55.26,57.206,59.971,62.8,66.091,65.889,65.948,65.781,65.939,66.087,65.914,65.871,65.96,66.041
31,38.599,38.425,37.682,37.767,37.198,36.714,36.287,35.586,35.347,34.578,33.705,34.416,33.623,34.188,34.169,33.651,34.144,34.633,35.053,36.03,37.071,38.703,39.028,40.189,41.058,42.019,42.836,43.253,43.844,44.125,44.556,45.449,46.748,48.945,50.302,52.2,53.754,55.919,58.059,61.077,63.43,67.004,66.903,66.939,67.015,66.918,67.027,66.867,67.031,67.298
32,38.508,39.15,38.108,37.754,36.945,36.314,36.629,36.11,35.948,35.702,35.368,34.434,33.83,34.229,33.712,33.892,34.482,34.487,35.354,36.236,36.796,37.963,39.008,40.298,41.404,42.189,43.229,43.32,44.454,44.584,45.138,45.352,46.718,48.098,50.018,51.234,52.867,55.209,57.07,59.067,62.293,64.738,68.016,68.085,67.925,67.898,68.013,68.047,67.965,68.1
33,39.204,38.573,37.888,38.693,37.1,37.304,36.208,35.689,35.771,34.712,35.122,34.145,34.355,33.863,34.519,34.797,34.507,35.196,35.634,36.41,37.424,38.302,39.55,40.402,41.438,42.598,43.296,44.093,44.733,45.514,46.037,46.315,46.215,47.621,49.151,50.364,52.554,54.08,55.839,58.183,60.116,62.702,65.682,69.005,69.076,69.004,68.931,68.906,69.115,69.074
34,39.213,39.183,39.238,38.517,37.193,37.545,37.365,36.69,35.427,35.936,34.496,34.769,34.812,34.699,34.381,34.6,35.683,35.247,36.094,37.108,37.581,38.16,39.112,40.074,41.378,42.548,43.444,44.15,45.21,45.918,46.352,46.814,47.074,47.312,48.631,50.311,51.866,52.974,55.405,57.484,58.58,61.664,63.579,66.659,70.015,69.834,69.796,70.054,69.793,69.835
35,39.927,39.573,39.384,38.401,38.435,37.673,36.533,36.362,36.132,35.666,34.826,35.309,35.135,35.156,35.372,34.908,35.254,35.867,36.344,37.01,37.599,38.25,39.235,40.249,41.096,42.276,43.732,44.229,45.223,45.926,46.616,47.43,47.536,48.061,48.402,49.624,51.137,52.671,54.107,55.879,57.864,59.703,62.03,64.583,67.244,70.891,70.989,71.185,71.06,70.855
36,39.479,39.534,38.832,38.991,38.024,38.442,37.284,37.196,36.716,36.732,35.408,36.0,35.381,34.977,35.753,35.317,36.251,36.171,36.698,37.366,37.993,38.807,39.551,40.503,41.213,42.075,43.416,44.488,45.693,46.151,47.318,47.904,48.434,48.567,48.966,49.336,50.929,52.188,53.46,55.595,56.974,59.081,61.143,63.745,66.324,68.243,71.86,71.884,71.914,71.998
37,39.123,39.825,39.625,38.709,38.528,38.135,37.408,36.967,37.023,36.646,36.062,36.411,35.521,35.328,35.906,35.804,36.66,36.626,37.314,37.578,37.878,38.739,39.892,40.818,41.287,42.127,43.211,44.492,45.106,46.389,46.976,47.938,48.757,49.303,50.158,50.459,50.165,51.831,53.33,54.723,56.092,57.815,59.921,61.747,64.228,66.553,69.392,72.899,73.04,72.994
38,39.692,39.585,39.235,38.998,38.242,38.716,38.336,37.203,37.768,37.13,35.966,36.662,35.983,36.076,36.328,36.304,36.724,37.137,37.595,37.935,38.59,39.004,39.861,40.765,41.163,42.132,43.129,44.203,45.51,46.182,47.484,48.448,49.074,49.635,50.223,50.98,51.315,51.291,52.895,54.388,55.857,57.308,59.428,60.537,63.057,65.07,67.413,70.332,73.954,73.892
39,39.846,39.644,39.686,38.935,39.284,38.723,38.22,37.614,38.306,37.14,37.139,36.566,35.902,36.892,37.22,36.596,37.044,37.412,37.85,38.337,38.867,39.816,40.412,40.756,41.698,42.446,43.427,44.22,45.476,46.086,47.3,48.066,49.242,49.953,50.725,51.23,51.85,52.057,52.409,53.799,55.106,56.563,58.321,59.959,61.289,63.802,66.143,68.757,71.614,74.984
40,40.395,39.315,39.955,39.679,38.227,39.086,38.96,38.398,37.613,37.35,36.739,36.368,37.16,36.673,37.168,36.762,37.336,37.708,38.184,38.839,39.225,40.324,40.622,41.256,41.984,42.679,43.26,43.91,44.997,46.3,47.114,48.214,49.132,50.316,50.596,51.538,52.188,52.654,53.184,53.395,54.554,56.514,57.72,59.498,60.663,62.353,64.889,66.531,69.475,72.228
41,40.622,40.488,40.099,39.123,38.822,39.479,38.226,38.452,38.999,38.049,37.908,36.829,36.724,36.843,36.977,37.537,37.806,37.877,38.905,39.344,39.953,40.38,40.935,41.49,42.361,42.69,43.98,44.412,45.476,46.175,47.233,48.238,49.572,50.491,51.381,52.311,52.762,53.419,53.808,54.52,54.246,56.145,57.049,58.189,59.859,61.794,64.187,65.97,68.251,70.381
42,41.153,40.783,40.392,39.548,40.048,38.756,38.877,38.384,38.966,38.661,38.253,37.699,37.196,37.693,37.209,37.438,38.357,38.108,39.297,39.715,39.828,41.087,41.469,42.083,43.078,43.049,44.02,44.811,45.307,46.436,47.377,48.283,49.188,50.445,51.679,52.075,53.265,53.452,54.289,54.657,54.836,55.615,56.837,57.813,59.828,61.613,62.91,64.52,66.79,69.069
43,40.532,41.173,40.126,40.718,40.084,39.472,38.938,39.764,38.303,38.205,37.682,37.959,37.644,37.154,37.57,37.826,38.161,38.783,39.555,39.532,40.651,41.119,42.016,42.357,43.126,43.819,44.193,44.538,45.532,46.457,47.222,48.213,48.707,50.293,51.373,52.25,53.751,54.179,54.814,54.978,55.66,56.064,56.652,57.745,59.303,60.439,61.93,64.247,65.634,67.858
44,40.465,40.966,40.637,40.946,39.373,39.38,39.119,39.149,38.572,38.693,38.025,37.648,37.84,37.389,37.819,38.189,38.654,39.076,39.345,40.355,40.776,41.306,42.234,42.793,43.088,43.716,44.627,45.274,46.273,46.703,47.274,48.087,48.953,50.156,50.904,52.05,53.283,54.24,55.192,55.823,56.398,56.89,57.266,57.527,58.815,59.94,61.872,63.052,64.805,66.361
45,41.072,40.875,40.903,40.836,40.274,39.76,39.161,39.069,38.609,38.848,38.591,37.793,38.795,37.897,38.194,38.658,38.816,39.364,39.83,40.556,41.363,41.813,42.629,43.181,43.777,44.659,44.902,45.734,46.265,47.033,47.682,48.108,49.45,50.014,51.181,52.487,53.506,54.398,55.327,56.17,56.897,57.305,57.73,58.164,58.048,59.9,61.069,62.475,64.721,66.125
46,41.346,41.361,41.308,40.596,39.408,40.589,39.913,39.532,39.279,38.284,38.83,39.226,38.495,38.633,38.819,38.502,39.281,39.809,40.212,41.004,41.128,42.03,42.757,43.484,44.053,44.586,45.347,46.162,46.926,47.289,47.658,48.692,48.999,50.063,51.135,52.021,53.159,54.466,55.514,56.271,57.124,57.565,58.348,58.848,58.965,59.629,60.907,61.898,63.588,65.027
47,42.135,40.796,41.322,40.39,40.531,40.051,39.445,40.433,39.537,39.409,39.285,38.846,38.697,38.811,38.95,38.804,39.694,39.748,40.158,40.757,42.024,42.694,43.297,43.814,44.235,45.11,45.77,46.733,46.859,47.692,48.25,48.876,49.68,50.621,51.243,52.026,53.279,54.343,55.413,56.31,56.999,58.074,58.906,59.245,59.727,60.075,60.476,61.761,63.324,64.375
48,42.276,42.142,41.636,41.02,40.854,40.375,40.351,40.576,39.49,39.281,39.362,39.358,39.373,39.124,39.603,39.474,40.198,40.547,40.903,41.58,42.095,42.606,43.83,43.99,45.005,45.615,46.327,46.801,47.534,47.976,48.703,49.316,49.684,50.748,51.238,52.291,53.151,54.151,55.041,56.893,57.14,58.318,58.982,59.424,59.939,60.558,61.29,61.252,62.631,64.285
49,42.872,42.641,41.29,41.626,41.54,41.461,41.243,40.742,40.626,40.423,39.672,39.502,39.728,39.368,39.634,39.777,39.935,40.567,40.803,41.857,42.367,43.151,43.813,44.533,44.949,46.203,46.828,46.996,48.071,48.19,49.346,49.906,50.209,50.832,51.608,52.179,53.516,54.268,55.184,56.286,57.275,58.348,59.185,59.646,60.919,61.095,61.886,62.154,62.397,63.924
